NO,Block,baseline_NMI,baseline_AMI,NMI_min,NMI_max,NMI_mean,AMI_min,AMI_max,AMI_mean,promotion_NMI,promotion_AMI,baseline_NMI_all_avg,baseline_AMI_all_avg,NMI_mean_all_avg,AMI_mean_all_avg
0,block_0,0.71,0.64,0.778502,0.792086,0.785245,0.723685,0.741625,0.731692,0.075245,0.091692,0.598235,0.578824,0.746844,0.735346
1,block_1,0.57,0.56,0.659368,0.673825,0.665153,0.653518,0.668209,0.659406,0.095153,0.099406,0.598235,0.578824,0.746844,0.735346
2,block_2,0.58,0.57,0.668485,0.698249,0.683237,0.661326,0.691775,0.676385,0.103237,0.106385,0.598235,0.578824,0.746844,0.735346
3,block_3,0.57,0.56,0.683843,0.719085,0.701499,0.678655,0.71444,0.696575,0.131499,0.136575,0.598235,0.578824,0.746844,0.735346
4,block_4,0.58,0.57,0.631927,0.678857,0.650849,0.623911,0.671959,0.643275,0.070849,0.073275,0.598235,0.578824,0.746844,0.735346
5,block_5,0.61,0.59,0.745449,0.781489,0.763866,0.734004,0.771578,0.75315,0.153866,0.16315,0.598235,0.578824,0.746844,0.735346
6,block_6,0.6,0.59,0.777547,0.796149,0.785359,0.771245,0.790223,0.779211,0.185359,0.189211,0.598235,0.578824,0.746844,0.735346
7,block_7,0.64,0.63,0.750746,0.771839,0.762783,0.744136,0.765772,0.756477,0.122783,0.126477,0.598235,0.578824,0.746844,0.735346
8,block_8,0.57,0.55,0.800049,0.816812,0.807352,0.790328,0.807848,0.797964,0.237352,0.247964,0.598235,0.578824,0.746844,0.735346
9,block_9,0.52,0.46,0.651996,0.678231,0.662885,0.637438,0.664623,0.648734,0.142885,0.188734,0.598235,0.578824,0.746844,0.735346
10,block_10,0.6,0.58,0.762453,0.787122,0.772498,0.746723,0.772831,0.757327,0.172498,0.177327,0.598235,0.578824,0.746844,0.735346
11,block_11,0.6,0.59,0.743297,0.76867,0.759502,0.729932,0.756568,0.746941,0.159502,0.156941,0.598235,0.578824,0.746844,0.735346
12,block_12,0.61,0.59,0.792141,0.823679,0.807608,0.783134,0.816049,0.799269,0.197608,0.209269,0.598235,0.578824,0.746844,0.735346
13,block_13,0.59,0.58,0.788911,0.814508,0.799383,0.783093,0.80948,0.79388,0.209383,0.21388,0.598235,0.578824,0.746844,0.735346
14,block_14,0.68,0.67,0.855019,0.893339,0.875031,0.849635,0.889308,0.870361,0.195031,0.200361,0.598235,0.578824,0.746844,0.735346
15,block_15,0.63,0.61,0.756342,0.789965,0.768964,0.7465,0.781521,0.759645,0.138964,0.149645,0.598235,0.578824,0.746844,0.735346
16,block_16,0.51,0.5,0.614874,0.667826,0.645135,0.599051,0.65433,0.630589,0.135135,0.130589,0.598235,0.578824,0.746844,0.735346
