Block,NMI_min,NMI_max,NMI_mean,AMI_min,AMI_max,AMI_mean
block_0,0.554012,0.558289,0.556618,0.002053,0.004667,0.003203
block_1,0.333992,0.333992,0.333992,0.00369,0.00369,0.00369
block_2,0.364137,0.364137,0.364137,0.004029,0.004029,0.004029
block_3,0.366716,0.366716,0.366716,0.00746,0.00746,0.00746
block_4,0.371504,0.371504,0.371504,0.006607,0.006607,0.006607
block_5,0.497919,0.497919,0.497919,0.025708,0.025708,0.025708
block_6,0.423909,0.423909,0.423909,0.010483,0.010483,0.010483
block_7,0.405239,0.405239,0.405239,0.006271,0.006271,0.006271
block_8,0.50817,0.50817,0.50817,0.014401,0.014401,0.014401
block_9,0.43767,0.43767,0.43767,0.011273,0.011273,0.011273
block_10,0.506672,0.506672,0.506672,0.015699,0.015699,0.015699
block_11,0.462007,0.462007,0.462007,0.013696,0.013696,0.013696
block_12,0.492,0.492,0.492,0.013814,0.013814,0.013814
block_13,0.436454,0.436454,0.436454,0.005891,0.005891,0.005891
block_14,0.499152,0.499152,0.499152,0.01623,0.01623,0.01623
block_15,0.453483,0.453483,0.453483,0.016429,0.016429,0.016429
block_16,0.378845,0.378845,0.378845,0.002797,0.002797,0.002797
